eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
197010210001,1970,10,21,,0,,14,Australia,12,Australasia & Oceania,Victoria,Melbourne,-37.813187,144.96298,1.0,0,,,1,1,1,0,,,0.0,1,0,3,Bombing/Explosion,,,,,7,Government (Diplomatic),46.0,Embassy/Consulate,,Yugoslav Consulate,235.0,Yugoslavia,,,,,,,,,,,,,,,,,Croatian Nationalists,,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0.0,,,0.0,,,0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,1,1,1,1,
197111230001,1971,11,23,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,1.0,0,,,1,1,1,-9,,,0.0,1,0,3,Bombing/Explosion,,,,,1,Business,11.0,Entertainment/Cultural/Stadium/Casino,,yugoslav travel agency,235.0,Yugoslavia,,,,,,,,,,,,,,,,,Croatian Nationalists,,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0.0,,,0.0,,,1,4.0,Unknown,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,1,1,1,1,
197209170001,1972,9,17,,0,,14,Australia,12,Australasia & Oceania,Queensland,Brisbane,-27.470933,153.023502,1.0,0,,,1,1,1,0,,,0.0,1,0,3,Bombing/Explosion,,,,,18,Tourists,95.0,Tourism Travel Agency,,yugoslav Tourist Office,235.0,Yugoslavia,,,,,,,,,,,,,,,,,Croatian Nationalists,,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,1,1,1,1,
197209250001,1972,9,25,,0,,14,Australia,12,Australasia & Oceania,Unknown,Unknown,,,5.0,0,,"09/25/1972: A letter bomb addressed to a Sydney Consulate diplomat was discovered and defused in Australia. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,1,1,0,,,1.0,0,0,1,Assassination,,,,,7,Government (Diplomatic),45.0,"Diplomatic Personnel (outside of embassy, consulate)",Israeli Ministry of Foreign Affairs,Sydney Consulate Diplomat,97.0,Israel,,,,,,,,,,,,,,,,,Black September,,,,,,,0.0,,,0,-99.0,-99.0,1.0,5.0,Note left at scene,,,,,,,,6,Explosives,9.0,Letter Bomb,,,,,,,,,,,,,An explosives-laden letter was used.,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,,"""Six letter bombs in Australia,"" The Jerusalem Post, September 26, 1972.",,,UMD Miscellaneous,1,1,1,1,"197209190001, 197209190002, 197209190003, 197209190004, 197209190005, 197209190006, 197209190007, 197209190008, 197209190009, 197209190010, 197209190011, 197209190012, 197209190013, 197209190014, 197209190015, 197209200003, 197209200004, 197209200005, 197209200006, 197209200007, 197209200008, 197209200009, 197209200010, 197209200011, 197209200012, 197209200013, 197209200014, 197209200015, 197209200016, 197209200017, 197209200018, 197209200019, 197209200020, 197209200021, 197209200022, 197209200023, 197209200024, 197209200025, 197209200026, 197209200027, 197209200028, 197209210002, 197209210003, 197209210004, 197209210005, 197209210006, 197209210007, 197209210008, 197209210009, 197209210010, 197209210011, 197209210012, 197209220003, 197209220004, 197209230002, 197209230003, 197209230004, 197209230005, 197209230006, 197209250001, 197209250002, 197209250003, 197209250004, 197209250005, 197209280002, 197209280003, 197209280004, 197209280005, 197209280006, 197209280007, 197209280008, 197209280009, 197209280010, 197209280011"
197209250002,1972,9,25,,0,,14,Australia,12,Australasia & Oceania,Unknown,Unknown,,,5.0,0,,"09/25/1972: A letter bomb addressed to a Sydney Consulate diplomat was discovered and defused in Australia. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,1,1,0,,,1.0,0,0,1,Assassination,,,,,7,Government (Diplomatic),45.0,"Diplomatic Personnel (outside of embassy, consulate)",Israeli Ministry of Foreign Affairs,Sydney Consulate Diplomat,97.0,Israel,,,,,,,,,,,,,,,,,Black September,,,,,,,0.0,,,0,-99.0,-99.0,1.0,5.0,Note left at scene,,,,,,,,6,Explosives,9.0,Letter Bomb,,,,,,,,,,,,,An explosives-laden letter was used.,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,,"""Six letter bombs in Australia,"" The Jerusalem Post, September 26, 1972.",,,UMD Miscellaneous,1,1,1,1,"197209190001, 197209190002, 197209190003, 197209190004, 197209190005, 197209190006, 197209190007, 197209190008, 197209190009, 197209190010, 197209190011, 197209190012, 197209190013, 197209190014, 197209190015, 197209200003, 197209200004, 197209200005, 197209200006, 197209200007, 197209200008, 197209200009, 197209200010, 197209200011, 197209200012, 197209200013, 197209200014, 197209200015, 197209200016, 197209200017, 197209200018, 197209200019, 197209200020, 197209200021, 197209200022, 197209200023, 197209200024, 197209200025, 197209200026, 197209200027, 197209200028, 197209210002, 197209210003, 197209210004, 197209210005, 197209210006, 197209210007, 197209210008, 197209210009, 197209210010, 197209210011, 197209210012, 197209220003, 197209220004, 197209230002, 197209230003, 197209230004, 197209230005, 197209230006, 197209250001, 197209250002, 197209250003, 197209250004, 197209250005, 197209280002, 197209280003, 197209280004, 197209280005, 197209280006, 197209280007, 197209280008, 197209280009, 197209280010, 197209280011"
197209250003,1972,9,25,,0,,14,Australia,12,Australasia & Oceania,Unknown,Unknown,,,5.0,0,,"09/25/1972: A letter bomb addressed to a Canberra Embassy diplomat was discovered and defused in Australia. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,1,1,0,,,1.0,0,0,1,Assassination,,,,,7,Government (Diplomatic),45.0,"Diplomatic Personnel (outside of embassy, consulate)",Israeli Ministry of Foreign Affairs,Canberra Embassy Diplomat,97.0,Israel,,,,,,,,,,,,,,,,,Black September,,,,,,,0.0,,,0,-99.0,-99.0,1.0,5.0,Note left at scene,,,,,,,,6,Explosives,9.0,Letter Bomb,,,,,,,,,,,,,An explosives-laden letter was used.,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,,"""Six letter bombs in Australia,"" The Jerusalem Post, September 26, 1972.",,,UMD Miscellaneous,1,1,1,1,"197209190001, 197209190002, 197209190003, 197209190004, 197209190005, 197209190006, 197209190007, 197209190008, 197209190009, 197209190010, 197209190011, 197209190012, 197209190013, 197209190014, 197209190015, 197209200003, 197209200004, 197209200005, 197209200006, 197209200007, 197209200008, 197209200009, 197209200010, 197209200011, 197209200012, 197209200013, 197209200014, 197209200015, 197209200016, 197209200017, 197209200018, 197209200019, 197209200020, 197209200021, 197209200022, 197209200023, 197209200024, 197209200025, 197209200026, 197209200027, 197209200028, 197209210002, 197209210003, 197209210004, 197209210005, 197209210006, 197209210007, 197209210008, 197209210009, 197209210010, 197209210011, 197209210012, 197209220003, 197209220004, 197209230002, 197209230003, 197209230004, 197209230005, 197209230006, 197209250001, 197209250002, 197209250003, 197209250004, 197209250005, 197209280002, 197209280003, 197209280004, 197209280005, 197209280006, 197209280007, 197209280008, 197209280009, 197209280010, 197209280011"
197209250004,1972,9,25,,0,,14,Australia,12,Australasia & Oceania,Unknown,Unknown,,,5.0,0,,"09/25/1972: A letter bomb addressed to a Canberra Embassy diplomat was discovered and defused in Australia. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,1,1,0,,,1.0,0,0,1,Assassination,,,,,7,Government (Diplomatic),45.0,"Diplomatic Personnel (outside of embassy, consulate)",Israeli Ministry of Foreign Affairs,Canberra Embassy Diplomat,97.0,Israel,,,,,,,,,,,,,,,,,Black September,,,,,,,0.0,,,0,-99.0,-99.0,1.0,5.0,Note left at scene,,,,,,,,6,Explosives,9.0,Letter Bomb,,,,,,,,,,,,,An explosives-laden letter was used.,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,,"""Six letter bombs in Australia,"" The Jerusalem Post, September 26, 1972.",,,UMD Miscellaneous,1,1,1,1,"197209190001, 197209190002, 197209190003, 197209190004, 197209190005, 197209190006, 197209190007, 197209190008, 197209190009, 197209190010, 197209190011, 197209190012, 197209190013, 197209190014, 197209190015, 197209200003, 197209200004, 197209200005, 197209200006, 197209200007, 197209200008, 197209200009, 197209200010, 197209200011, 197209200012, 197209200013, 197209200014, 197209200015, 197209200016, 197209200017, 197209200018, 197209200019, 197209200020, 197209200021, 197209200022, 197209200023, 197209200024, 197209200025, 197209200026, 197209200027, 197209200028, 197209210002, 197209210003, 197209210004, 197209210005, 197209210006, 197209210007, 197209210008, 197209210009, 197209210010, 197209210011, 197209210012, 197209220003, 197209220004, 197209230002, 197209230003, 197209230004, 197209230005, 197209230006, 197209250001, 197209250002, 197209250003, 197209250004, 197209250005, 197209280002, 197209280003, 197209280004, 197209280005, 197209280006, 197209280007, 197209280008, 197209280009, 197209280010, 197209280011"
197209250005,1972,9,25,,0,,14,Australia,12,Australasia & Oceania,Unknown,Unknown,,,5.0,0,,"09/25/1972: A letter bomb addressed to a Canberra Embassy diplomat was discovered and defused in Australia. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,1,1,0,,,1.0,0,0,1,Assassination,,,,,7,Government (Diplomatic),45.0,"Diplomatic Personnel (outside of embassy, consulate)",Israeli Ministry of Foreign Affairs,Canberra Embassy Diplomat,97.0,Israel,,,,,,,,,,,,,,,,,Black September,,,,,,,0.0,,,0,-99.0,-99.0,1.0,5.0,Note left at scene,,,,,,,,6,Explosives,9.0,Letter Bomb,,,,,,,,,,,,,An explosives-laden letter was used.,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,,"""Six letter bombs in Australia,"" The Jerusalem Post, September 26, 1972.",,,UMD Miscellaneous,1,1,1,1,"197209190001, 197209190002, 197209190003, 197209190004, 197209190005, 197209190006, 197209190007, 197209190008, 197209190009, 197209190010, 197209190011, 197209190012, 197209190013, 197209190014, 197209190015, 197209200003, 197209200004, 197209200005, 197209200006, 197209200007, 197209200008, 197209200009, 197209200010, 197209200011, 197209200012, 197209200013, 197209200014, 197209200015, 197209200016, 197209200017, 197209200018, 197209200019, 197209200020, 197209200021, 197209200022, 197209200023, 197209200024, 197209200025, 197209200026, 197209200027, 197209200028, 197209210002, 197209210003, 197209210004, 197209210005, 197209210006, 197209210007, 197209210008, 197209210009, 197209210010, 197209210011, 197209210012, 197209220003, 197209220004, 197209230002, 197209230003, 197209230004, 197209230005, 197209230006, 197209250001, 197209250002, 197209250003, 197209250004, 197209250005, 197209280002, 197209280003, 197209280004, 197209280005, 197209280006, 197209280007, 197209280008, 197209280009, 197209280010, 197209280011"
197209250006,1972,9,25,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Sydney,-33.86882,151.209295,1.0,0,,"09/25/1972: A letter bomb addressed to N. Hannah, the United States Consulate consul, was discovered and defused at a post office in Sydney, Australia. No group claimed responsibility for the incident.",1,1,1,0,,,1.0,0,0,1,Assassination,,,,,7,Government (Diplomatic),45.0,"Diplomatic Personnel (outside of embassy, consulate)",United States Department of State,Consul: N. Hannah,217.0,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,-99.0,-99.0,0.0,,,,,,,,,,6,Explosives,9.0,Letter Bomb,,,,,,,,,,,,,An explosives-laden letter was used.,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,,"""Six letter bombs in Australia,"" The Jerusalem Post, September 26, 1972.","""Find Mail Bomb Sent to U.S. Consulate,"" Chicago Tribune, September 26, 1972.",,UMD Miscellaneous,-9,-9,1,1,
197212080002,1972,12,8,,0,,14,Australia,12,Australasia & Oceania,Queensland,Brisbane,-27.470933,153.023502,1.0,0,,,1,1,1,-9,,,0.0,1,0,3,Bombing/Explosion,,,,,1,Business,,,,U.S. Dosinisman,217.0,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,15.0,Vehicle,,,,,,,,,,,,,Explosive,1.0,1.0,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
